Filename,Total Lines,TEXT Lines,FORM Lines,TABLE Lines,TEXT Chars,FORM Chars,TABLE Chars,TEXT Avg Len,FORM Avg Len,TABLE Avg Len
document_part_classification_154.xml,24,0,24,0,0,1020,0,0.00,42.50,0.00
document_part_classification_155.xml,11,1,10,0,1693,619,0,1693.00,61.90,0.00
document_part_classification_156.xml,17,0,17,0,0,780,0,0.00,45.88,0.00
document_part_classification_157.xml,44,5,39,0,2687,2868,0,537.40,73.54,0.00
document_part_classification_158.xml,14,5,9,0,3177,942,0,635.40,104.67,0.00
document_part_classification_159.xml,10,1,9,0,411,517,0,411.00,57.44,0.00
document_part_classification_16.xml,17,0,17,0,0,1176,0,0.00,69.18,0.00
document_part_classification_160.xml,13,1,12,0,287,1048,0,287.00,87.33,0.00
document_part_classification_161.xml,5,0,5,0,0,269,0,0.00,53.80,0.00
document_part_classification_162.xml,6,0,6,0,0,319,0,0.00,53.17,0.00
document_part_classification_163.xml,5,2,3,0,3441,248,0,1720.50,82.67,0.00
document_part_classification_164.xml,25,0,25,0,0,710,0,0.00,28.40,0.00
document_part_classification_165.xml,5,1,4,0,265,348,0,265.00,87.00,0.00
document_part_classification_166.xml,9,3,6,0,1538,385,0,512.67,64.17,0.00
document_part_classification_167.xml,33,0,33,0,0,1972,0,0.00,59.76,0.00
document_part_classification_168.xml,16,5,11,0,4686,531,0,937.20,48.27,0.00
document_part_classification_169.xml,26,1,25,0,511,2316,0,511.00,92.64,0.00
document_part_classification_17.xml,35,0,35,0,0,1520,0,0.00,43.43,0.00
document_part_classification_170.xml,15,0,15,0,0,940,0,0.00,62.67,0.00
document_part_classification_171.xml,7,2,5,0,1057,239,0,528.50,47.80,0.00
document_part_classification_172.xml,8,1,7,0,325,393,0,325.00,56.14,0.00
document_part_classification_173.xml,9,0,9,0,0,633,0,0.00,70.33,0.00
document_part_classification_174.xml,22,0,22,0,0,1785,0,0.00,81.14,0.00
document_part_classification_175.xml,8,0,8,0,0,2537,0,0.00,317.12,0.00
document_part_classification_176.xml,4,0,4,0,0,246,0,0.00,61.50,0.00
document_part_classification_177.xml,5,0,5,0,0,464,0,0.00,92.80,0.00
document_part_classification_178.xml,21,0,21,0,0,1239,0,0.00,59.00,0.00
document_part_classification_179.xml,25,0,25,0,0,1265,0,0.00,50.60,0.00
document_part_classification_18.xml,8,0,8,0,0,410,0,0.00,51.25,0.00
document_part_classification_180.xml,15,1,14,0,315,1147,0,315.00,81.93,0.00
document_part_classification_181.xml,13,0,13,0,0,1199,0,0.00,92.23,0.00
document_part_classification_182.xml,23,1,22,0,230,2018,0,230.00,91.73,0.00
document_part_classification_183.xml,14,0,14,0,0,348,0,0.00,24.86,0.00
document_part_classification_184.xml,7,0,7,0,0,384,0,0.00,54.86,0.00
document_part_classification_185.xml,22,0,22,0,0,397,0,0.00,18.05,0.00
document_part_classification_186.xml,6,1,5,0,587,382,0,587.00,76.40,0.00
document_part_classification_187.xml,25,0,25,0,0,1060,0,0.00,42.40,0.00
document_part_classification_188.xml,26,0,26,0,0,2169,0,0.00,83.42,0.00
document_part_classification_189.xml,11,0,11,0,0,394,0,0.00,35.82,0.00
document_part_classification_19.xml,18,3,15,0,1678,818,0,559.33,54.53,0.00
document_part_classification_190.xml,13,0,13,0,0,1296,0,0.00,99.69,0.00
document_part_classification_191.xml,3,1,2,0,483,124,0,483.00,62.00,0.00
document_part_classification_192.xml,22,0,22,0,0,370,0,0.00,16.82,0.00
document_part_classification_193.xml,29,0,29,0,0,1235,0,0.00,42.59,0.00
document_part_classification_194.xml,11,0,11,0,0,452,0,0.00,41.09,0.00
document_part_classification_195.xml,32,0,32,0,0,2008,0,0.00,62.75,0.00
document_part_classification_196.xml,14,0,14,0,0,629,0,0.00,44.93,0.00
document_part_classification_197.xml,11,2,9,0,686,609,0,343.00,67.67,0.00
document_part_classification_198.xml,15,3,12,0,1339,712,0,446.33,59.33,0.00
document_part_classification_199.xml,12,0,12,0,0,367,0,0.00,30.58,0.00
document_part_classification_2.xml,24,0,24,0,0,1311,0,0.00,54.62,0.00
document_part_classification_20.xml,5,1,4,0,696,153,0,696.00,38.25,0.00
document_part_classification_200.xml,6,2,4,0,634,290,0,317.00,72.50,0.00
document_part_classification_201.xml,6,1,5,0,340,374,0,340.00,74.80,0.00
document_part_classification_202.xml,9,3,6,0,1954,560,0,651.33,93.33,0.00
document_part_classification_203.xml,13,4,9,0,2556,584,0,639.00,64.89,0.00
document_part_classification_204.xml,3,0,3,0,0,196,0,0.00,65.33,0.00
document_part_classification_205.xml,8,0,8,0,0,513,0,0.00,64.12,0.00
document_part_classification_206.xml,18,0,18,0,0,1210,0,0.00,67.22,0.00
document_part_classification_207.xml,10,0,10,0,0,576,0,0.00,57.60,0.00
document_part_classification_208.xml,10,1,9,0,452,937,0,452.00,104.11,0.00
document_part_classification_209.xml,13,2,11,0,1128,656,0,564.00,59.64,0.00
document_part_classification_21.xml,9,1,8,0,855,272,0,855.00,34.00,0.00
document_part_classification_210.xml,5,1,4,0,256,300,0,256.00,75.00,0.00
document_part_classification_211.xml,14,0,14,0,0,559,0,0.00,39.93,0.00
document_part_classification_212.xml,6,1,5,0,528,591,0,528.00,118.20,0.00
document_part_classification_213.xml,14,0,14,0,0,635,0,0.00,45.36,0.00
document_part_classification_214.xml,22,0,22,0,0,1199,0,0.00,54.50,0.00
document_part_classification_215.xml,20,0,4,16,0,251,1276,0.00,62.75,79.75
document_part_classification_216.xml,12,0,12,0,0,348,0,0.00,29.00,0.00
document_part_classification_217.xml,4,1,3,0,371,242,0,371.00,80.67,0.00
document_part_classification_218.xml,16,0,16,0,0,766,0,0.00,47.88,0.00
document_part_classification_219.xml,9,2,7,0,716,417,0,358.00,59.57,0.00
document_part_classification_22.xml,34,0,34,0,0,1768,0,0.00,52.00,0.00
document_part_classification_220.xml,3,0,3,0,0,248,0,0.00,82.67,0.00
document_part_classification_221.xml,9,0,9,0,0,513,0,0.00,57.00,0.00
document_part_classification_222.xml,18,1,17,0,343,917,0,343.00,53.94,0.00
document_part_classification_223.xml,117,3,25,89,1141,1295,8520,380.33,51.80,95.73
document_part_classification_224.xml,28,3,25,0,1277,1978,0,425.67,79.12,0.00
document_part_classification_225.xml,11,1,10,0,532,253,0,532.00,25.30,0.00
document_part_classification_226.xml,15,0,15,0,0,1036,0,0.00,69.07,0.00
document_part_classification_227.xml,12,2,10,0,854,676,0,427.00,67.60,0.00
document_part_classification_228.xml,11,2,9,0,779,448,0,389.50,49.78,0.00
document_part_classification_229.xml,10,4,6,0,2159,340,0,539.75,56.67,0.00
